ES;nID;study;publication_year;species;phylo;class;order;taxon;mating_system;care;exploited_resource;study_type;resource_facet_manipulated;pred;axb;response_variable;r;N
E.S. 30;12;DeMartini 1988;1988;Porichthys notatus;Porichthys_notatus;Actinopterygii;Batrachoidiformes;2_pisc;polygamy;paternal;rock crevices;exp_field;quant;mean male size;b;male body lenght (mm);0.264;72
E.S. 31;12;DeMartini 1988;1988;Porichthys notatus;Porichthys_notatus;Actinopterygii;Batrachoidiformes;2_pisc;polygamy;paternal;rock crevices;exp_field;quant;mean male size;b;male body lenght (mm);0.222;128
E.S. 32;12;DeMartini 1988;1988;Porichthys notatus;Porichthys_notatus;Actinopterygii;Batrachoidiformes;2_pisc;polygamy;paternal;rock crevices;exp_field;quant;mean male size;b;male body lenght (mm);0.172;72
E.S. 33;12;DeMartini 1988;1988;Porichthys notatus;Porichthys_notatus;Actinopterygii;Batrachoidiformes;2_pisc;polygamy;paternal;rock crevices;exp_field;quant;mean male size;b;male body weight (g);0.112;128
E.S. 34;12;DeMartini 1988;1988;Porichthys notatus;Porichthys_notatus;Actinopterygii;Batrachoidiformes;2_pisc;polygamy;paternal;rock crevices;exp_field;quant;mean male size;b;male body weight (g);0.212;66
E.S. 35;12;DeMartini 1988;1988;Porichthys notatus;Porichthys_notatus;Actinopterygii;Batrachoidiformes;2_pisc;polygamy;paternal;rock crevices;exp_field;quant;mean male size;b;male body weight (g);0.087;50
E.S. 36;14;Forsgren et al 1996;1996;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;bivalve shells;exp_field;quant;mean male size;b;mean lenght of males (overall males in both populations) (mm);-0.2;32
E.S. 37;14;Forsgren et al 1996;1996;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;bivalve shells;exp_field;quant;mean male size;b;mean lenght of nest holding male (mm);-0.151;28
E.S. 38;14;Forsgren et al 1996;1996;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;bivalve shells;exp_field;quant;mean male size;b;mean lenght of nest holding male (mm);-0.152;28
E.S. 39;14;Forsgren et al 1996;1996;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;bivalve shells;exp_field;quant;mean male size;b;mean lenght of nest holding male (mm);0.331;20
E.S. 40;14;Forsgren et al 1996;1996;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;bivalve shells;exp_field;quant;mean male size;b;mean lenght of males with nest (mm);0.768;116
E.S. 41;14;Forsgren et al 1996;1996;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;bivalve shells;exp_field;quant;mean male size;b;mean lenght of males with nest (mm);0.951;76
E.S. 42;14;Forsgren et al 1996;1996;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;bivalve shells;exp_field;quant;mean male size;b;mean lenght of mated males (mm);-0.972;60
E.S. 43;14;Forsgren et al 1996;1996;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;bivalve shells;exp_field;quant;mean male size;b;mean lenght of mated males (mm);-0.389;65
E.S. 44;23;Klug et al 2010;2010;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;shell, rock crevices, flowerpot;exp_lab;quant;selection gradient;b;(S total) gradient of selection in respect to male lenght (cm transformed in mm);0.217;72
E.S. 45;23;Klug et al 2010;2010;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;shell, rock crevices, flowerpot;exp_lab;quant;selection gradient;b;(S total) gradient of selection in respect to male lenght (cm transformed in mm);0.047;128
E.S. 46;23;Klug et al 2010;2010;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;shell, rock crevices, flowerpot;exp_lab;quant;selection gradient;b;(S nest) gradient of selection in respect to male lenght (cm transformed in mm);0.232;72
E.S. 47;23;Klug et al 2010;2010;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;shell, rock crevices, flowerpot;exp_lab;quant;selection gradient;b;(S nest) gradient of selection in respect to male lenght (cm transformed in mm);0.167;128
E.S. 48;23;Klug et al 2010;2010;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;shell, rock crevices, flowerpot;exp_lab;quant;selection gradient;b;(S nest/mate) gradient of selection in respect to male lenght (cm transformed in mm);0.055;72
E.S. 49;23;Klug et al 2010;2010;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;shell, rock crevices, flowerpot;exp_lab;quant;selection gradient;b;(S nest/mate) gradient of selection in respect to male lenght (cm transformed in mm);0.03;128
